SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
98015,1,49,4,16146.55982,15641.56296,1,145,0.9
98016,2,69,4,9862.921512,10018.90939,1,136,0.95
98017,2,0,3,12361.36929,12785.73184,2,139,5
98018,1,22,4,31579.20437,32362.46579,1,146,1.2
98019,1,80,7,12272.70083,13848.7562,1,146,1.34
98020,1,0,7,12181.88006,12308.20309,2,140,3.21
98021,2,9,4,11165.81303,11637.44895,1,141,0.9
98022,2,18,4,19255.12729,19866.5423,2,140,1.64
98023,2,37,4,39446.24306,41356.23521,2,144,5
98024,2,61,2,9228.857978,9295.841523,1,138,NA
98025,1,15,4,12001.93714,12346.95011,2,148,0.87
98026,2,4,3,27196.4097,35042.48543,1,142,0.54
98027,1,6,6,9360.154946,9808.667133,1,138,NA
98028,2,34,3,32341.3013,32141.70633,1,141,0.83
98029,2,66,6,11760.80028,11993.68545,2,140,4.78
98030,2,24,4,44486.80541,49594.22851,2,146,1.14
98031,1,31,7,37392.78159,44775.60152,2,140,0.96
98032,1,72,3,109181.75,111926.9041,1,139,5
98033,2,42,4,15598.06618,19992.29327,2,134,2.37
98034,1,43,4,12782.2075,13044.62844,1,136,4
98035,2,35,1,49580.21842,59407.31728,2,136,1.79
98036,2,38,6,26552.77517,26271.93157,2,138,NA
98037,2,6,1,39067.0251,49657.57262,2,144,NA
98038,2,15,6,11947.5652,13483.90276,2,148,1.67
98039,1,1,4,8723.96493,9737.180745,1,137,0.92
98040,1,65,6,10949.40058,11055.98306,2,136,5
98041,2,55,1,41426.24513,46216.34754,2,143,1.44
98042,1,8,3,101649.8822,126719.3104,2,147,4.57
98043,1,61,4,10311.5928,11017.92064,2,147,4.25
98044,1,12,4,9381.475854,9651.159884,2,148,0.2
98045,2,40,6,28094.86647,28756.78485,2,138,0.58
98046,2,49,3,28029.64004,30005.72009,1,135,0.64
98047,1,53,1,51302.77197,53144.28742,2,143,1.41
98048,2,30,6,14126.93832,16109.84452,2,135,3.4
98049,1,67,6,11162.7862,12243.47293,2,138,1.63
